time,signal
11.383907079696655,754
11.408583879470825,819
11.433414936065674,877
11.458872079849243,935
11.483577966690063,992
11.508522033691406,1044
11.533481121063232,1091
11.558488130569458,1137
11.583340167999268,1183
11.608240842819214,1219
11.633100986480713,1258
11.658308982849121,1304
11.682940006256104,1357
11.707902908325195,1415
11.732688903808594,1478
11.757708072662354,1548
11.782536029815674,1597
11.807538032531738,1511
11.832274913787842,1200
11.857112884521484,799
11.881989002227783,540
11.907106161117554,486
11.931823968887329,547
11.956798076629639,630
11.981590986251831,689
12.00678300857544,737
12.03147292137146,755
12.056346893310547,771
12.081214904785156,785
12.10629415512085,781
12.131274938583374,759
12.156033039093018,729
12.18076491355896,713
12.205955982208252,727
12.230841875076294,784
12.255778074264526,873
12.280652046203613,951
12.305629014968872,1017
12.330509185791016,1082
12.355565071105957,1148
12.38033390045166,1216
12.405642986297607,1283
12.430022954940796,1352
12.455090999603271,1412
12.480035781860352,1470
12.504997968673706,1527
12.529892921447754,1595
12.554720163345337,1666
12.579724073410034,1734
12.604611158370972,1801
12.62952995300293,1882
12.654217004776001,1970
12.679180145263672,1993
12.70404314994812,1778
12.72885513305664,1354
12.753729104995728,960
12.77845311164856,776
12.803546905517578,761
12.828350067138672,808
12.853380918502808,868
12.878328800201416,908
12.903062105178833,672
12.92811393737793,688
12.953105926513672,730
12.977923154830933,781
13.00282907485962,806
13.029345035552979,809
13.052608966827393,810
13.077765941619873,822
13.10239291191101,853
13.127454042434692,910
13.152314901351929,984
13.17756700515747,1057
13.202250957489014,1126
13.227297067642212,1204
13.252149105072021,1280
13.27734088897705,1355
13.301952123641968,1425
13.326869010925293,1498
13.351835012435913,1577
13.37696385383606,1653
13.401550054550171,1724
13.427151918411255,1806
13.451160192489624,1880
13.47616696357727,1953
13.501078128814697,2032
13.525976181030273,2124
13.550778865814209,2212
13.576117992401123,2180
13.60088300704956,1871
13.625975131988525,1423
13.650657176971436,1107
13.675512075424194,997
13.70051097869873,1023
13.72561001777649,1095
13.750216960906982,1159
13.775118827819824,724
13.799990177154541,768
13.824826955795288,811
13.849613189697266,862
13.874491930007935,892
13.899610996246338,881
13.924472093582153,838
13.94937801361084,812
13.974375009536743,823
13.99927306175232,870
14.024173021316528,927
14.04889702796936,990
14.074294090270996,1064
14.099037885665894,1145
14.124013900756836,1221
14.148607015609741,1292
14.173654079437256,1367
14.198475122451782,1438
14.223672151565552,1496
14.248438119888306,1544
14.273447036743164,1606
14.298007011413574,1669
14.323158025741577,1725
14.348172187805176,1789
14.372805833816528,1871
14.397691011428833,1887
14.422677993774414,1643
14.447442054748535,1184
14.472378015518188,772
14.49727487564087,581
14.522221088409424,546
14.546872854232788,597
14.572012186050415,666
14.596853971481323,728
14.62196397781372,718
14.646767854690552,748
14.67154312133789,789
14.696402072906494,825
14.721460103988647,834
14.746411085128784,804
14.771289825439453,771
14.796207904815674,760
14.821237087249756,776
14.846222877502441,826
14.871029138565063,904
14.895928859710693,985
14.920916080474854,1062
14.94605016708374,1125
14.970839023590088,1184
14.99570107460022,1246
15.02071499824524,1321
15.045698165893555,1384
15.070402145385742,1433
15.095426082611084,1486
15.120375156402588,1541
15.145267963409424,1606
15.170042991638184,1672
15.194994926452637,1748
15.220035791397095,1842
15.244883060455322,1912
15.269784212112427,1789
15.294616937637329,1389
15.319359064102173,903
15.344268083572388,594
15.369045972824097,500
15.394093751907349,530
15.418757915496826,590
15.443951845169067,644
15.4686861038208,676
15.493809938430786,687
15.518447875976562,716
15.543622970581055,763
15.568428993225098,801
15.5935959815979,796
15.618520975112915,773
15.64320707321167,753
15.668001174926758,749
15.693158864974976,775
15.717979907989502,824
15.742814064025879,891
15.767606019973755,953
15.792948007583618,1023
15.817667961120605,1091
15.842727899551392,1160
15.86745810508728,1223
15.892504930496216,1278
15.91734790802002,1313
15.942152976989746,1352
15.967011213302612,1405
15.992236137390137,1467
16.01691198348999,1521
16.041960954666138,1582
16.068161010742188,1615
16.091598987579346,1459
16.116525888442993,1072
16.141536951065063,662
16.166263103485107,432
16.203318119049072,379
16.216055154800415,425
16.241070985794067,488
16.26597785949707,529
16.29102396965027,681
16.31583285331726,731
16.340914964675903,779
16.365566968917847,804
16.390620946884155,790
16.41537094116211,750
16.44014000892639,713
16.46508812904358,704
16.490056037902832,725
16.514899015426636,766
16.539780855178833,809
16.56547522544861,871
16.5940260887146,933
16.61483097076416,991
16.63948702812195,1044
16.664403915405273,1098
16.68942379951477,1143
16.714180946350098,1188
16.739354848861694,1226
16.7641019821167,1281
16.78907012939453,1348
16.813885927200317,1414
16.838825941085815,1484
16.864014148712158,1538
16.888937950134277,1458
16.913655042648315,1120
16.93859100341797,657
16.96342897415161,319
16.988579034805298,184
17.01337194442749,198
17.038135051727295,253
17.062981843948364,303
17.088209867477417,657
17.112989902496338,668
17.13779091835022,681
17.162576913833618,709
17.187602996826172,718
17.212678909301758,689
17.237582206726074,647
17.262392044067383,617
17.28729820251465,605
17.31216597557068,620
17.337157011032104,665
17.362029790878296,724
17.38690996170044,776
17.411808013916016,829
17.436716079711914,889
17.46168303489685,931
17.486613988876343,957
17.51142406463623,984
17.536482095718384,1028
17.561320066452026,1087
17.586296796798706,1138
17.611309051513672,1180
17.636035919189453,1230
17.661031007766724,1284
17.685909032821655,1340
17.71075415611267,1277
17.735522031784058,980
17.76036500930786,574
17.78519105911255,297
17.81023597717285,213
17.835114002227783,238
17.859951972961426,294
17.88475489616394,339
17.909944772720337,661
17.934738874435425,686
17.959934949874878,716
17.984504222869873,739
18.00969409942627,731
18.03453493118286,698
18.059612035751343,650
18.084216117858887,618
18.109281063079834,621
18.134124040603638,654
18.15892004966736,703
18.18356680870056,758
18.208631992340088,813
18.233524084091187,874
18.258637189865112,935
18.28365182876587,1001
18.308640956878662,1062
18.3335599899292,1109
18.358637809753418,1148
18.38343095779419,1189
18.40822720527649,1233
18.43316888809204,1288
18.458236932754517,1338
18.48304319381714,1289
18.50811004638672,1003
18.53253984451294,572
18.557591199874878,233
18.582165002822876,82
18.60717010498047,60
18.631887912750244,89
18.656975984573364,122
18.68190598487854,129
18.7068350315094,560
18.731723070144653,559
18.756845951080322,582
18.781502962112427,611
18.806507110595703,613
18.831212043762207,596
18.85641098022461,570
18.881289958953857,556
18.90636706352234,574
